uf;porte_do_cliente;setor_bndes;produto;ano;;desembolsos_reais
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2010;count;6.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2010;sum;705772.7
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2011;count;7.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2011;sum;703656.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2012;count;12.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2012;sum;1891710.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2013;count;28.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2013;sum;3719192.3
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2014;count;12.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2014;sum;1643590.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2015;count;13.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2015;sum;1921133.5
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2016;count;4.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2016;sum;783710.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2017;count;5.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2017;sum;667300.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2018;count;1.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2018;sum;110700.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2019;count;2.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2019;sum;179989.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2020;count;6.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2020;sum;865953.6
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;1995;count;2.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;1995;sum;854393.68
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2002;count;3.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2002;sum;96260.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2003;count;2.0
