"ano";"mes";"bndes_finem";"bndes_exim";"bndes_nao_reembolsavel";"bndes_automatico";"bndes_finame";"cartao_bndes"
2006;12;"213917,0396074";"1085914,4611388";"0,0";"263489,561580001";"691497,049990798";"14212,2847654"
2007;1;"64861,6069594";"122151,5398062";"0,0";"185793,2671152";"587244,582336198";"14142,2226685"
2007;2;"67815,9141442";"143144,0299641";"0,0";"125590,0112085";"428417,2544931";"14692,463266"
2007;3;"30878,6520521";"291242,6128853";"0,0";"249607,210610803";"781171,720474303";"15408,6377625"
2007;4;"247277,3717331";"182816,8732108";"0,0";"204506,842837696";"667762,669289899";"18036,0855774"
2007;5;"170984,0293907";"407946,1394394";"0,0";"257005,844205691";"873194,944960196";"17333,341434"
2007;6;"382071,4070452";"668333,283906";"0,0";"244237,231864802";"910047,067799903";"22044,1471592"
2007;7;"96747,9509931";"446793,9672335";"0,0";"295671,828884912";"1050824,4598619";"25006,3672388"
2007;8;"98565,5046653";"184025,7879727";"0,0";"220660,6288713";"855492,416518897";"23450,0135190001"
2007;9;"185197,7059291";"90229,6482496";"0,0";"107305,7436692";"866133,0251335";"25278,0336283"
2007;10;"336156,7625234";"141786,4928283";"0,0";"249044,245692699";"1534419,7961255";"29163,5174349"
2007;11;"510801,9556877";"587375,3253916";"0,0";"223733,771617604";"1060686,0076318";"30222,4455568"
2007;12;"522349,6211436";"221338,2420564";"0,0";"251917,395985392";"1091045,7190724";"30869,6802904"
2008;1;"116890,398916";"361375,7720607";"0,0";"340964,334677287";"934283,0411773";"25288,1209359"
2008;2;"161865,8563642";"181407,6921386";"0,0";"190805,0391811";"968425,380657602";"22547,0879805001"
2008;3;"368066,9641639";"676636,9145613";"0,0";"414395,448551306";"1086943,3367664";"28125,7677714999"
2008;4;"249592,9313049";"279404,2761057";"0,0";"411266,382573902";"1025830,055198";"33136,6771107"
2008;5;"367648,5812001";"137524,1337661";"0,0";"247024,2411202";"1480542,10057541";"32927,192178"
2008;6;"277676,8011616";"166497,2659878";"0,0";"321136,411444102";"1243711,8376713";"42957,4625532"
2008;7;"322838,8964345";"255264,6554776";"0,0";"261339,003686402";"1208653,4221991";"44300,1936022002"
2008;8;"237269,1343553";"403624,2058771";"0,0";"184928,5302764";"1628540,00440891";"50852,6024418999"
2008;9;"248394,407439";"533478,8043987";"0,0";"193497,2816999";"1808064,37075099";"44772,1078892"
2008;10;"404000,4180603";"375816,6792685";"0,0";"179018,5290687";"1188287,39243891";"39396,285636"
2008;11;"315649,0314195";"659255,383284";"0,0";"145764,9203907";"967387,265801497";"45685,9303956966"
2008;12;"198100,2451446";"871315,0524447";"0,0";"183255,6385425";"997460,6929194";"46265,1042746001"
2009;1;"119566,9292683";"135187,3403447";"0,0";"147041,766477299";"731292,160804202";"33183,9161417001"
2009;2;"292103,2974239";"144710,1052218";"0,0";"137128,375966097";"541784,278372199";"39111,4179943001"
2009;3;"213924,3020536";"35890,9633466";"0,0";"191401,931636902";"844863,296675598";"41886,5433527"
2009;4;"686496,3071072";"119541,5835371";"0,0";"243727,491082487";"822037,531327202";"60951,9493598002"
2009;5;"221624,2333744";"15139,863858";"0,0";"287482,422933594";"854748,962636802";"75003,0678628001"
2009;6;"233992,2776288";"427084,8385208";"0,0";"354473,800099703";"884278,702653494";"111456,1938295"
2009;7;"240438,6632239";"303265,1500611";"0,0";"412363,114749612";"784779,762696992";"140139,820216098"
2009;8;"408000,4531816";"957666,2167463";"0,0";"611268,023006204";"1026246,762536";"147445,790966201"
2009;9;"746293,731343";"2355736,3074118";"0,0";"622891,039768065";"1158350,8435032";"160962,9185112"
2009;10;"431522,5188026";"1023914,8276648";"0,0";"780628,997661995";"1569799,8625106";"170980,970915399"
2009;11;"262783,0439317";"464723,2536178";"0,0";"800572,40144419";"1609348,92532879";"167643,2832406"
2009;12;"1284201,732338";"176507,6574715";"0,0";"914872,113603701";"1677639,7818976";"166492,172763301"
2010;1;"66955,278142";"192648,7701513";"0,0";"858477,665804705";"2264932,77875761";"126315,295860699"
2010;2;"115447,3537741";"47699,8169115";"0,0";"760347,892497202";"1735203,9700654";"143451,3429717"
2010;3;"253380,7647468";"52338,9255329";"0,0";"674158,987436105";"2269630,4038792";"135834,6360939"
2010;4;"399596,8080347";"41744,3914096";"0,0";"502243,677236194";"2439825,9706691";"173051,6629601"
2010;5;"340907,7820137";"323316,7334807";"0,0";"515137,801548705";"2419855,8180922";"191965,698006801"
2010;6;"503287,8512208";"1033430,5471936";"0,0";"742674,007688497";"2807237,79397973";"211254,992908899"
2010;7;"465806,3286872";"1211907,4084047";"0,0";"1013495,6255346";"2672002,99882416";"201742,307746198"
2010;8;"465282,3600631";"2950253,3362121";"0,0";"481083,614624301";"2858868,2842213";"222032,011822701"
2010;9;"222422,9179139";"1421559,2389175";"0,0";"330478,6928639";"2438231,49623592";"227308,994481499"
2010;10;"261568,4916229";"1244512,8229641";"0,0";"463919,930556104";"2306939,15800591";"263615,608474501"
2010;11;"891948,3419691";"144143,9222994";"0,0";"613386,604492303";"2704470,72545072";"247966,1934456"
2010;12;"451388,7504169";"217776,5922734";"0,0";"621274,662295206";"3053099,59419202";"324359,931190303"
2011;1;"57410,8143924";"160586,0558041";"0,0";"457328,552028901";"2873027,35439627";"251570,215116801"
2011;2;"480706,0269709";"109530,036964";"0,0";"404704,993381998";"2188474,6011598";"270144,921155002"
2011;3;"73107,6561558";"81159,5015237";"0,0";"395314,544137698";"2319180,4371103";"269453,172125702"
2011;4;"68367,2629652";"325776,1783155";"0,0";"456883,487460997";"2618325,43285978";"342658,355878502"
2011;5;"329690,2102219";"515254,9287771";"0,0";"509934,612094402";"2769947,17564049";"334363,638242201"
2011;6;"255374,7318627";"699578,7483144";"0,0";"452078,718447503";"2905880,16867188";"397568,266659889"
2011;7;"230567,8338443";"637308,7535323";"0,0";"515036,367063093";"3001412,04525352";"428179,384432106"
2011;8;"465601,5499444";"217857,8676676";"0,0";"522484,6415528";"2848521,72116025";"458781,358930599"
2011;9;"374717,6005576";"95754,6911975";"0,0";"750883,318571704";"2620928,6153235";"424914,652040397"
2011;10;"181385,0448477";"308051,5771238";"0,0";"873787,985288701";"2432048,59060633";"450595,333639608"
2011;11;"509274,5145077";"282293,6410732";"0,0";"615560,528347306";"2361573,60759929";"453900,604304"
2011;12;"638377,4019123";"582234,1346074";"0,0";"698997,591503397";"2405052,65634169";"436280,351845097"
2012;1;"39820,0687653";"190291,9801969";"0,0";"418904,955121599";"1999804,7080371";"385900,275596201"
2012;2;"296310,6214072";"153543,4680639";"0,0";"356274,368610099";"1652058,97317239";"419859,86487999"
2012;3;"51041,4456934";"53824,3839894";"0,0";"532266,066392796";"1783247,8701929";"372229,194292295"
2012;4;"756959,6863408";"125175,4012668";"0,0";"498112,768045315";"1801839,63382999";"460737,532511805"
2012;5;"673066,1264362";"11856,8388947";"0,0";"438952,525567701";"1424325,6434103";"400342,669842716"
2012;6;"115734,4903833";"332233,6548907";"0,0";"418896,678018504";"1547545,5186356";"396420,220845406"
2012;7;"236525,6752174";"520350,2559059";"0,0";"710954,601451899";"1831008,99831031";"415143,690506596"
2012;8;"181337,9887051";"1052025,6617844";"0,0";"945977,733440887";"1923921,12674142";"422265,192672297"
2012;9;"274501,938702";"257022,0350346";"0,0";"979249,386613802";"1604832,95837641";"417607,387984896"
2012;10;"723412,4754583";"361846,9362134";"0,0";"1147842,2098877";"1882043,5940825";"420258,321668999"
2012;11;"104530,2566947";"131348,0635524";"0,0";"835052,658514915";"2339741,2965217";"396647,732540704"
2012;12;"603477,1527597";"99432,9676678";"0,0";"985488,147745275";"2454821,16198352";"381088,109458084"
